Player,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Draft,Player-additional
Francesco Arcuri,ca CA,F,22,6-2,195,L/-,R,June 13 2003,2021 DAL 6th (175),arcurfr01
Oskar Back,se SE,F,25,6-4,202,L/-,1,March 12 2000,2018 DAL 3rd (75),backos01
Nathan Bastian,ca CA,F,28,6-4,205,R/-,6,December 6 1997,2016 NJD 2nd (41),bastina01
Jack Becker,us US,F,28,6-3,191,R/-,R,June 24 1997,2015 BOS 7th (195),beckeja01
Jamie Benn (C),ca CA,F,36,6-3,206,L/-,16,July 18 1989,2007 DAL 5th (129),bennja01
Tommy Bergsland,us US,D,24,6-3,195,R/-,R,March 23 2001,,-9999
Tristan Bertucci,ca CA,D,20,6-2,172,L/-,R,July 12 2005,2023 DAL 2nd (61),bertutr01
Antoine Bibeau,ca CA,G,31,6-3,205,-/L,2,May 1 1994,2013 TOR 6th (172),bibeaan01
Lian Bichsel,ch CH,D,21,6-7,231,L/-,1,May 18 2004,2022 DAL 1st (18),bichsli01
Colin Blackwell,us US,F,32,5-8,190,R/-,7,March 28 1993,2011 SJS 7th (194),blackco01
Mavrik Bourque,ca CA,F,24,5-11,181,R/-,2,January 8 2002,2020 DAL 1st (30),bourqma01
Kyle Capobianco,ca CA,D,28,6-3,198,L/-,7,August 13 1997,2015 ARI 3rd (63),capobky01
Sean Chisholm,ca CA,F,25,6-1,200,L/-,R,January 26 2001,,-9999
Anthony Cristoforo,ca CA,D,19,6-1,180,R/-,R,February 23 2006,,-9999
Casey DeSmith,us US,G,34,6-1,180,-/L,7,August 13 1991,,desmica01
Matt Duchene,ca CA,F,35,5-11,212,L/-,16,January 16 1991,2009 COL 1st (3),duchema01
Adam Erne,us US,F,30,6-1,212,L/-,8,April 20 1995,2013 TBL 2nd (33),ernead01
Justin Ertel,ca CA,F,22,6-2,187,L/-,R,May 27 2003,2021 DAL 3rd (79),ertelju01
Radek Faksa,cz CZ,F,32,6-3,215,L/-,10,January 9 1994,2012 DAL 1st (13),faksara01
Jaxon Fuder,ca CA,F,19,6-1,166,L/-,R,April 2 2006,,-9999
Brandon Gorzynski,us US,F,18,6-2,185,L/-,R,March 12 2007,2025 DAL 4th (126),gorzybr01
Cross Hanas,us US,F,24,6-1,171,L/-,R,January 5 2002,2020 DET 2nd (55),hanascr02
Thomas Harley,us US,D,24,6-3,211,L/-,4,August 19 2001,2019 DAL 1st (18),harleth01
Miro Heiskanen,fi FI,D,26,6-2,197,L/-,7,July 18 1999,2017 DAL 1st (3),heiskmi01
Emil Hemming,fi FI,F,19,6-1,201,R/-,R,June 27 2006,2024 DAL 1st (29),hemmiem01
Roope Hintz,fi FI,F,29,6-3,213,L/-,7,November 17 1996,2015 DAL 2nd (49),hintzro01
Aidan Hreschuk,us US,D,22,5-11,188,L/-,R,February 19 2003,2021 CAR 3rd (94),hrescai01
Justin Hryckowian,ca CA,F,24,5-11,195,L/-,1,February 23 2001,,hryckju01
Cameron Hughes,ca CA,F,29,6-1,183,L/-,2,October 9 1996,2015 BOS 6th (165),hugheca01
Arttu Hyry,fi FI,F,24,6-2,209,R/-,1,April 6 2001,,hyryar01
Wyatt Johnston,ca CA,F,22,6-1,185,R/-,3,May 14 2003,2021 DAL 1st (23),johnswy01
Michael Karow,us US,D,27,6-2,200,L/-,R,December 18 1998,2017 ARI 5th (126),karowmi01
Vladislav Kolyachonok,by BY,D,24,6-2,195,L/-,4,May 26 2001,2019 FLA 2nd (52),kolyavl01
Ben Kraws,us US,G,25,6-5,199,-/L,R,August 2 2000,,krawsbe01
Christian Kyrou,ca CA,D,22,5-10,182,R/-,R,September 16 2003,2022 DAL 2nd (50),kyrouch01
Kole Lind,ca CA,F,27,6-1,193,R/-,3,October 16 1998,2017 VAN 2nd (33),lindko01
Esa Lindell,fi FI,D,31,6-3,217,L/-,10,May 23 1994,2012 DAL 3rd (74),lindees01
Kyle Looft,us US,D,27,6-3,192,L/-,R,June 27 1998,,-9999
Nils Lundkvist,se SE,D,25,6-1,191,R/-,4,July 27 2000,2018 NYR 1st (28),lundkni01
Ilya Lyubushkin,ru RU,D,31,6-2,200,R/-,7,April 6 1994,,lyubuil01
Angus MacDonell,ca CA,F,20,5-9,180,L/-,R,May 11 2005,2023 DAL 6th (189),macdoan02
Ayrton Martino,ca CA,F,23,5-11,160,L/-,R,September 28 2002,2021 DAL 3rd (73),martiay01
Kyle McDonald,ca CA,F,23,6-4,223,R/-,R,February 5 2002,,mcdonky01
Curtis McKenzie,ca CA,F,34,6-2,205,L/-,4,February 22 1991,2009 DAL 6th (159),mckencu01
Niilopekka Muhonen,fi FI,D,19,6-4,195,L/-,R,February 28 2006,2024 DAL 5th (158),muhonni01
Jake Oettinger,us US,G,27,6-6,224,-/L,5,December 18 1998,2017 DAL 1st (26),oettija01
Charlie Paquette,ca CA,F,20,6-1,200,R/-,R,December 6 2005,2025 DAL 7th (222),paquech02
Kaleb Pearson,ca CA,F,25,5-11,174,R/-,R,June 15 2000,,-9999
Alexander Petrovic,ca CA,D,33,6-5,211,R/-,9,March 3 1992,2010 FLA 2nd (36),petroal01
Remi Poirier,ca CA,G,24,6-2,206,-/L,R,October 6 2001,2020 DAL 6th (185),poirire01
Connor Punnett,ca CA,D,22,6-2,200,L/-,R,June 16 2003,,-9999
Mikko Rantanen,fi FI,F,29,6-4,215,L/-,10,October 29 1996,2015 COL 1st (10),rantami01
Jason Robertson,us US,F,26,6-3,207,L/-,6,July 22 1999,2017 DAL 2nd (39),roberja01
Cameron Schmidt,ca CA,F,19,5-7,160,R/-,R,January 19 2007,2025 DAL 3rd (94),schmica01
Harrison Scott,us US,F,25,6-1,185,L/-,R,September 27 2000,,-9999
Tyler Seguin,ca CA,F,34,6-2,201,R/-,15,January 31 1992,2010 BOS 1st (2),seguity01
Matthew Seminoff,us US,F,22,5-11,190,R/-,R,December 27 2003,2022 DAL 6th (179),seminma01
Dawson Sharkey,ca CA,F,19,6-1,188,R/-,R,July 23 2006,2025 DAL 6th (190),sharkda01
Artem Shlaine,ru RU,F,23,6-1,165,L/-,R,March 17 2002,2020 NJD 5th (130),shlaiar01
Sam Steel,ca CA,F,27,6-1,189,L/-,7,February 3 1998,2016 ANA 1st (30),steelsa01
Antonio Stranges,us US,F,23,5-11,185,L/-,R,February 5 2002,2020 DAL 4th (123),stranan01
Trey Taylor,ca CA,D,23,6-2,190,L/-,R,February 4 2002,,-9999
Arno Tiefensee,de DE,G,23,6-4,192,-/L,R,May 1 2002,2023 DAL 5th (157),tiefear01
Chase Wheatcroft,ca CA,F,23,6-2,185,L/-,R,May 28 2002,,wheatch01
Gavin White,ca CA,D,23,5-11,161,R/-,R,November 12 2002,2022 DAL 4th (115),whitega01
