Player,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Draft,Player-additional,,,
Nikita Alexandrov,de DE,F,25,6-1,177,L/-,2,September 16 2000,2019 STL 2nd (62),alexani01,,,
Jordan Binnington,ca CA,G,32,6-2,172,-/L,8,July 11 1993,2011 STL 3rd (88),binnijo01,,,
Sam Bitten,ca CA,F,25,6-2,200,L/-,R,March 21 2000,,-9999,,,
Nick Bjugstad,us US,F,33,6-5,205,R/-,13,July 17 1992,2010 FLA 1st (19),bjugsni01,,,
Philip Broberg,se SE,D,24,6-4,212,L/-,4,June 25 2001,2019 EDM 1st (8),brobeph01,,,
Pavel Buchnevich,ru RU,F,30,6-1,196,L/-,9,April 17 1995,2013 NYR 3rd (75),buchnpa01,,,
Quinton Burns,ca CA,D,20,6-1,180,L/-,R,April 14 2005,2023 STL 3rd (74),burnsqu01,,,
Justin Carbonneau,ca CA,F,19,6-4,191,R/-,R,November 25 2006,2025 STL 1st (19),carboju01,,,
Will Cranley,ca CA,G,23,6-0,185,-/L,R,February 26 2002,2020 STL 6th (163),cranlwi01,,,
Zach Dean,ca CA,F,23,6-1,176,L/-,1,January 4 2003,2021 VEG 1st (30),deanza01,,,
Antoine Dorion,ca CA,F,20,6-1,190,R/-,R,November 2 2005,2024 STL 7th (209),dorioan01,,,
Dalibor Dvorsky,sk SK,F,20,6-1,201,L/-,1,June 15 2005,2023 STL 1st (10),dvorsda01,,,
Colten Ellis,ca CA,G,25,6-1,185,-/L,R,October 5 2000,2019 STL 3rd (93),ellisco01,,,
Justin Faulk,us US,D,33,6-0,214,R/-,14,March 20 1992,2010 CAR 2nd (37),faulkju01,,,
Lukas Fischer,us US,D,19,6-3,173,L/-,R,September 9 2006,2024 STL 2nd (56),fischlu01,,,
Cam Fowler,ca CA,D,34,6-2,210,L/-,15,December 5 1991,2010 ANA 1st (12),fowleca01,,,
Marc-Andre Gaudet,ca CA,D,22,6-3,180,L/-,R,October 24 2003,2022 STL 5th (152),gaudema01,,,
Joel Hofer,ca CA,G,25,6-5,179,-/L,4,July 30 2000,2018 STL 4th (107),hoferjo01,,,
Dylan Holloway,ca CA,F,24,6-1,206,L/-,3,September 23 2001,2020 EDM 1st (14),hollody01,,,
Adam Jecho,cz CZ,F,19,6-5,197,R/-,R,March 24 2006,2024 STL 3rd (95),jechoad01,,,
Adam Jiricek,cz CZ,D,19,6-3,167,R/-,R,June 28 2006,2024 STL 1st (16),jiricad01,,,
Samuel Johannesson,se SE,D,25,5-11,176,R/-,R,December 27 2000,2020 CBJ 6th (176),johansa01,,,
Mathieu Joseph,ca CA,F,28,6-1,186,L/-,7,February 9 1997,2015 TBL 4th (120),josepma01,,,
Aleksanteri Kaskimaki,fi FI,F,21,5-11,181,L/-,R,February 6 2004,2022 STL 3rd (73),kaskial01,,,
Anthony Kehrer,ca CA,D,23,5-11,205,R/-,R,March 4 2002,,-9999,,,
Matthew Kessel,us US,D,25,6-2,205,R/-,3,June 23 2000,2020 STL 5th (150),kessema01,,,
Matthew Koprowski,ca CA,G,18,6-2,199,-/L,R,February 5 2007,,-9999,,,
Torey Krug,us US,D,34,5-9,194,L/-,13,April 12 1991,,krugto01,,,
Jordan Kyrou,ca CA,F,27,6-1,196,R/-,7,May 5 1998,2016 STL 2nd (35),kyroujo01,,,
Theo Lindstein,se SE,D,21,6-1,180,L/-,R,January 5 2005,2023 STL 1st (29),lindsth01,,,
Leo Loof,se SE,D,23,6-2,176,L/-,R,April 25 2002,2020 STL 3rd (88),loofle01,,,
Milan Lucic,ca CA,F,37,6-3,240,L/-,17,June 7 1988,2006 BOS 2nd (50),lucicmi01,,,
Matt Luff,ca CA,F,28,6-2,196,R/-,5,May 5 1997,,luffma01,,,
Logan Mailloux,ca CA,D,22,6-3,213,R/-,2,April 15 2003,2021 MTL 1st (31),mailllo01,,,
Hugh McGing,us US,F,27,5-8,176,L/-,2,July 11 1998,2018 STL 5th (138),mcginhu01,,,
William McIsaac,ca CA,D,19,6-3,192,R/-,R,May 26 2006,2024 STL 5th (145),mcisawi01,,,
Jake Neighbours,ca CA,F,23,6-0,201,L/-,4,March 29 2002,2020 STL 1st (26),neighja01,,,
Colton Parayko,ca CA,D,32,6-6,228,R/-,10,May 12 1993,2012 STL 3rd (86),parayco01,,,
Matthew Peca,ca CA,F,32,5-8,182,L/-,6,April 27 1993,2011 TBL 7th (201),pecama01,,,
Juraj Pekarcik,sk SK,F,20,6-1,183,L/-,R,September 12 2005,2023 STL 3rd (76),pekarju01,,,
Dylan Peterson,us US,F,24,6-4,192,R/-,R,January 8 2002,2020 STL 3rd (86),peterdy01,,,
Simon Robertsson,se SE,F,22,6-0,190,L/-,R,February 5 2003,2021 STL 3rd (71),robersi01,,,
Brayden Schenn (C),ca CA,F,34,6-1,199,L/-,16,August 22 1991,2009 LAK 1st (5),schenbr01,,,
Corey Schueneman,us US,D,30,5-11,197,L/-,3,September 2 1995,,schueco01,,,
Hunter Skinner,us US,D,24,6-3,205,R/-,R,April 29 2001,2019 NYR 4th (112),skinnhu01,,,
Jimmy Snuggerud,us US,F,21,6-1,186,R/-,1,June 1 2004,2022 STL 1st (23),snuggji01,,,
Jakub Stancl,cz CZ,F,20,6-3,201,L/-,R,April 10 2005,2023 STL 4th (106),stancja01,,,
Sam Stange,us US,F,24,6-1,200,R/-,R,April 20 2001,2020 DET 4th (97),stangsa01,,,
Otto Stenberg,se SE,F,20,5-11,180,L/-,R,May 29 2005,2023 STL 1st (25),stenbot01,,,
Oskar Sundqvist,se SE,F,31,6-3,220,R/-,10,March 23 1994,2012 PIT 3rd (81),sundqos01,,,
Pius Suter,ch CH,F,29,5-11,179,L/-,5,May 24 1996,,suterpi01,,,
Alexandre Texier,fr FR,F,26,6-1,201,L/-,6,September 13 1999,2017 CBJ 2nd (45),texieal01,,,
Robert Thomas,ca CA,F,26,6-0,207,R/-,7,July 2 1999,2017 STL 1st (20),thomaro01,,,
Alexey Toropchenko,ru RU,F,26,6-6,222,L/-,4,June 25 1999,2017 STL 4th (113),toropal01,,,
Tyler Tucker,ca CA,D,25,6-1,204,L/-,3,March 1 2000,2018 STL 7th (200),tuckety01,,,
Chris Wagner,us US,F,34,6-0,192,R/-,11,May 27 1991,2010 ANA 5th (122),wagnech01,,,
Nathan Walker,gb GB,F,31,5-9,187,L/-,8,February 7 1994,2014 WSH 3rd (89),walkena01,,,
Vadim Zherenko,ru RU,G,24,6-2,176,-/L,R,March 15 2001,2019 STL 7th (208),zhereva01,,,
